Date,Open,High,Low,Close,Adj Close,Volume
2013-10-30,646.049988,657.000000,621.000000,635.859985,635.859985,28962
2013-10-31,628.000000,678.000000,614.989990,652.369995,652.369995,80247
2013-11-01,665.000000,682.000000,654.000000,654.000000,654.000000,29233
2013-11-04,642.000000,642.000000,625.000000,625.210022,625.210022,135771
2013-11-05,639.500000,662.000000,639.400024,652.119995,652.119995,29375
2013-11-06,660.000000,660.000000,645.000000,645.000000,645.000000,17163
2013-11-07,634.000000,637.099976,627.700012,627.700012,627.700012,16623
2013-11-08,640.750000,644.049988,635.799988,635.799988,635.799988,2129
2013-11-11,622.000000,623.000000,608.000000,608.390015,608.390015,5000
2013-11-12,609.500000,616.500000,609.500000,612.919983,612.919983,20458
2013-11-13,615.000000,630.000000,615.000000,629.900024,629.900024,484360
2013-11-14,636.090027,636.090027,631.000000,636.000000,636.000000,175309
2013-11-15,638.929993,638.929993,634.500000,637.000000,637.000000,365200
2013-11-19,637.000000,637.000000,599.900024,600.000000,600.000000,10180
2013-11-20,609.000000,613.349976,608.799988,608.799988,608.799988,4719
2013-11-21,615.000000,615.000000,608.799988,609.960022,609.960022,1336
2013-11-22,609.960022,609.960022,601.500000,601.500000,601.500000,2642
2013-11-25,580.000000,585.000000,575.000000,584.619995,584.619995,9089
2013-11-26,596.500000,603.000000,592.500000,599.000000,599.000000,9705
2013-11-27,602.000000,606.750000,599.000000,601.099976,601.099976,9047
2013-11-28,601.099976,601.099976,601.099976,601.099976,601.099976,3
2013-11-29,612.000000,612.000000,611.989990,612.000000,612.000000,60
2013-12-02,614.450012,625.000000,614.450012,625.000000,625.000000,4200
2013-12-03,623.000000,623.000000,600.000000,614.469971,614.469971,1609
2013-12-04,623.000000,640.000000,623.000000,640.000000,640.000000,7017
2013-12-05,630.000000,635.500000,630.000000,635.500000,635.500000,10315
2013-12-06,625.000000,625.000000,620.000000,620.000000,620.000000,305
2013-12-09,617.000000,627.000000,617.000000,627.000000,627.000000,3425
2013-12-10,627.000000,657.000000,627.000000,646.000000,646.000000,16076
2013-12-11,646.000000,651.599976,644.000000,644.000000,644.000000,5780
2013-12-13,673.000000,686.000000,673.000000,686.000000,686.000000,18882
2013-12-16,703.000000,703.000000,690.000000,690.000000,690.000000,24966
2013-12-17,710.000000,720.000000,703.000000,716.000000,716.000000,514655
2013-12-18,703.000000,725.000000,703.000000,718.049988,718.049988,10100
2013-12-19,703.500000,718.000000,698.000000,718.000000,718.000000,52183
2013-12-20,711.869995,712.229980,710.000000,710.000000,710.000000,41425
2013-12-23,733.169983,752.000000,733.169983,748.000000,748.000000,41588
2013-12-26,758.000000,758.000000,750.630005,754.000000,754.000000,24858
2013-12-27,747.500000,748.299988,724.799988,725.530029,725.530029,69116
2013-12-30,717.880005,718.000000,705.099976,708.000000,708.000000,89392
2014-01-02,717.500000,720.000000,715.500000,720.000000,720.000000,2675
2014-01-03,720.000000,721.000000,710.000000,716.000000,716.000000,19313
2014-01-06,700.000000,747.900024,700.000000,746.000000,746.000000,47730
2014-01-07,756.000000,758.000000,750.500000,757.460022,757.460022,11695
2014-01-08,757.460022,763.640015,757.460022,763.000000,763.000000,1345
2014-01-09,762.000000,770.000000,740.000000,744.500000,744.500000,17944
2014-01-10,747.299988,755.500000,747.299988,750.000000,750.000000,5109
2014-01-13,750.000000,750.000000,731.000000,731.000000,731.000000,1559
2014-01-14,740.000000,750.880005,738.190002,750.880005,750.880005,3964
2014-01-15,760.900024,770.000000,748.000000,763.000000,763.000000,39733
2014-01-16,758.500000,770.000000,758.500000,763.000000,763.000000,4915
2014-01-17,768.000000,768.000000,748.000000,748.000000,748.000000,13430
2014-01-20,748.000000,748.000000,748.000000,748.000000,748.000000,0
2014-01-21,757.000000,775.799988,757.000000,775.799988,775.799988,21314
2014-01-22,778.000000,778.000000,760.000000,760.000000,760.000000,840
2014-01-23,760.500000,760.500000,751.000000,751.000000,751.000000,282
2014-01-24,754.000000,765.000000,735.400024,738.000000,738.000000,147563
2014-01-27,730.000000,730.000000,702.530029,720.000000,720.000000,35176
2014-01-28,720.000000,750.000000,720.000000,728.799988,728.799988,4180
2014-01-29,725.000000,734.000000,720.000000,720.000000,720.000000,2549
2014-01-30,780.000000,845.000000,780.000000,815.000000,815.000000,140498
2014-01-31,820.000000,855.000000,800.000000,855.000000,855.000000,21574
2014-02-04,843.000000,844.000000,830.000000,830.000000,830.000000,18332
2014-02-05,836.700012,837.309998,829.000000,829.000000,829.000000,29605
2014-02-06,822.500000,823.000000,819.700012,823.000000,823.000000,4654
2014-02-07,844.000000,860.000000,844.000000,850.000000,850.000000,9819
2014-02-10,849.000000,849.000000,846.669983,846.669983,846.669983,449
2014-02-11,850.000000,863.250000,845.000000,863.250000,863.250000,2816
2014-02-12,860.000000,860.000000,857.500000,857.500000,857.500000,3082
2014-02-13,870.500000,895.000000,870.500000,888.000000,888.000000,6507
2014-02-14,890.000000,900.000000,888.000000,888.000000,888.000000,7731
2014-02-17,888.000000,888.000000,888.000000,888.000000,888.000000,0
2014-02-18,876.000000,891.000000,876.000000,891.000000,891.000000,13363
2014-02-19,906.000000,915.750000,901.000000,906.000000,906.000000,37784
2014-02-20,907.000000,929.039978,870.000000,927.179993,927.179993,90669
2014-02-21,926.000000,948.989990,910.000000,912.000000,912.000000,38407
2014-02-24,927.500000,960.000000,922.760010,940.000000,940.000000,8494
2014-02-25,930.000000,932.000000,919.500000,919.500000,919.500000,4148
2014-02-26,938.450012,946.570007,920.200012,920.200012,920.200012,35292
2014-02-27,924.000000,932.000000,923.000000,923.000000,923.000000,2118
2014-02-28,920.000000,920.000000,899.539978,899.539978,899.539978,244
2014-03-03,890.000000,901.000000,890.000000,896.799988,896.799988,16616
2014-03-04,903.000000,930.000000,903.000000,930.000000,930.000000,2557
2014-03-05,930.000000,953.000000,930.000000,948.000000,948.000000,58937
